"","game_str","play_id","SB","X.x","timestamp","ball_position_x","ball_position_y","ball_position_z","fP_x","fP_y","fC_x","fC_y","f2B_x","f2B_y","fSS_x","fSS_y","f1BsRn_x","f1BsRn_y"
"23","1901_05_TeamLI_TeamA3",12,1,256,307705,1.439691,70.9266,9.67143,0.8106,53.1861,-3.7866,-0.4071,27.1131,132.2949,-9.1755,131.2791,18.3216,109.4937
"24","1901_05_TeamLI_TeamA3",12,1,257,307755,1.710624,75.9183,9.47595,0.7782,53.2137,-3.894,-0.4764,26.7684,132.5865,-8.2593,131.0658,17.3019,110.5587
"25","1901_05_TeamLI_TeamA3",12,1,258,307805,2.001072,80.868,9.21939,0.7353,53.2482,-3.9978,-0.5505,26.421,132.8835,-7.3347,130.8618,16.2828,111.6207
"26","1901_05_TeamLI_TeamA3",12,1,259,307855,2.311038,85.776,8.90172,0.6771,53.262,-4.0998,-0.6288,26.0724,133.185,-6.4032,130.6674,15.2646,112.677
"27","1901_05_TeamLI_TeamA3",12,1,260,307905,2.640516,90.642,8.52294,0.6042,53.2311,-4.2006,-0.7092,25.7229,133.4898,-5.4672,130.4835,14.2485,113.7258
"28","1901_05_TeamLI_TeamA3",12,1,261,307955,2.989515,95.4663,8.08308,0.513,53.2017,-4.3017,-0.7893,25.374,133.7985,-4.5288,130.3113,13.2354,114.7653
"29","1901_05_TeamLI_TeamA3",12,1,262,308005,3.35802,100.2486,7.58211,0.4044,53.1912,-4.4037,-0.8661,25.0263,134.1108,-3.5898,130.1514,12.2256,115.7934
"30","1901_05_TeamLI_TeamA3",12,1,263,308055,3.74604,104.9892,7.02006,0.2775,53.1687,-4.5138,-0.9348,24.681,134.4273,-2.6526,130.0035,11.2206,116.808
"31","1901_05_TeamLI_TeamA3",12,1,264,308105,1.257156,109.3071,0,0.1365,53.1396,-4.5567,-0.9588,24.339,134.7483,-1.7187,129.8676,10.2213,117.8082
"32","1901_05_TeamLI_TeamA3",12,1,265,308155,1.073967,115.0749,0,-0.0093,53.1294,-4.596,-0.9834,24.0015,135.075,-0.7899,129.7428,9.6426,118.4538
"33","1901_05_TeamLI_TeamA3",12,1,266,308205,0.890778,120.8424,0,-0.1497,53.1207,-4.6335,-1.0107,23.6691,135.4077,0.1323,129.6279,9.0636,119.0994
"34","1901_05_TeamLI_TeamA3",12,1,267,308255,0.707589,126.6102,0,-0.2832,53.1219,-4.6692,-1.0401,23.3436,135.7479,1.0461,129.5205,8.4849,119.745
"35","1901_05_TeamLI_TeamA3",12,1,268,308305,0.5244,132.3777,0,-0.4086,53.1369,-4.7034,-1.0719,23.0253,136.0953,1.9503,129.4179,7.9059,120.3906
"36","1901_05_TeamLI_TeamA3",12,1,269,308355,1.087446,133.1373,-0.00524022,-0.5301,53.1681,-4.7355,-1.1055,22.7157,136.4511,2.8437,129.3168,7.3272,121.0362
"37","1901_05_TeamLI_TeamA3",12,1,270,308405,1.650495,133.8972,-0.01048044,-0.6471,53.1723,-4.7661,-1.1412,22.4154,136.8153,3.7254,129.2127,6.7482,121.6818
"38","1901_05_TeamLI_TeamA3",12,1,271,308455,2.213544,134.6568,-0.01572066,-0.7623,53.1681,-4.794,-1.1778,22.1256,137.1882,4.5945,129.102,6.1695,122.3274
"39","1901_05_TeamLI_TeamA3",12,1,272,308505,2.776593,135.4167,-0.02096088,-0.8616,53.1333,-4.8201,-1.2159,21.8472,137.5698,5.451,128.9829,5.5908,122.973
"40","1901_05_TeamLI_TeamA3",12,1,273,308555,3.33963,136.1763,-0.0262011,-0.9561,53.091,-4.8447,-1.2561,21.5808,137.9604,6.2958,128.8557,5.0118,123.6186
"41","1901_05_TeamLI_TeamA3",12,1,274,308605,3.9027,136.9362,-0.0314412,-1.0362,53.0343,-4.8672,-1.2966,21.3279,138.3603,7.1301,128.7198,4.4331,124.2642
"42","1901_05_TeamLI_TeamA3",12,1,275,308655,4.46574,137.6958,-0.0366816,-1.1046,52.9668,-4.8882,-1.338,21.0891,138.7692,7.9536,128.5773,3.8541,124.9098
"43","1901_05_TeamLI_TeamA3",12,1,276,308705,5.02878,138.4554,-0.0419217,-1.1523,52.8819,-4.9074,-1.38,20.8659,139.1877,8.7657,128.4306,3.2754,125.5554
"44","1901_05_TeamLI_TeamA3",12,1,277,308755,5.59182,139.2153,-0.0471621,-1.1934,52.8231,-4.9254,-1.4229,20.6598,139.6164,9.5655,128.283,2.6964,126.201
"45","1901_05_TeamLI_TeamA3",12,1,278,308805,6.15489,139.9749,-0.0524022,-1.2216,52.7553,-4.9425,-1.467,20.472,140.055,10.3515,128.1366,2.1177,126.8463
"46","1901_05_TeamLI_TeamA3",12,1,279,308855,6.71793,140.7348,-0.0576423,-1.2549,52.6938,-4.9584,-1.5099,20.304,140.5047,11.1222,127.9938,1.539,127.4919
"47","1901_05_TeamLI_TeamA3",12,1,280,308905,7.28097,141.4944,-0.0628827,-1.2783,52.65,-4.974,-1.5537,20.1573,140.9658,11.8761,127.8567,1.4004,127.4178
"48","1901_05_TeamLI_TeamA3",12,1,281,308955,7.84401,142.2543,-0.0681228,-1.2984,52.6152,-4.9896,-1.5978,20.0334,141.4389,12.6111,127.7271,1.2609,127.3425
"49","1901_05_TeamLI_TeamA3",12,1,282,309005,8.40708,143.0139,-0.0733629,-1.3128,52.5951,-5.0058,-1.6413,19.9344,141.924,13.3257,127.6068,1.1193,127.2645
"50","1901_05_TeamLI_TeamA3",12,1,283,309055,8.97012,143.7735,-0.0786033,-1.3185,52.5876,-5.025,-1.6839,19.8618,142.422,14.0184,127.4964,0.9744,127.1811
"51","1901_05_TeamLI_TeamA3",12,1,284,309105,9.53316,144.5334,-0.0838434,-1.3224,52.5984,-5.037,-1.7025,19.8168,142.9332,14.6883,127.395,0.8238,127.0896
"52","1901_05_TeamLI_TeamA3",12,1,285,309155,10.0962,145.293,-0.0890838,-1.3215,52.6077,-5.0505,-1.7196,19.8015,143.4585,15.3339,127.3017,0.666,126.9861
"53","1901_05_TeamLI_TeamA3",12,1,286,309205,10.65927,146.0529,-0.0943239,-1.3131,52.6299,-5.0652,-1.7355,19.8165,143.9985,15.9546,127.2153,0.498,126.8676
"54","1901_05_TeamLI_TeamA3",12,1,287,309255,11.22231,146.8125,-0.099564,-1.3011,52.6581,-5.0805,-1.7505,19.8636,144.5538,16.5489,127.1355,0.3183,126.7305
"55","1901_05_TeamLI_TeamA3",12,1,288,309305,11.78535,147.5721,-0.1048044,-1.2945,52.7043,-5.0967,-1.7652,19.9434,145.1241,17.1159,127.062,0.1239,126.5715
"56","1901_05_TeamLI_TeamA3",12,1,289,309355,12.34839,148.332,-0.1100445,-1.284,52.7346,-5.1132,-1.779,20.0562,145.7097,17.6547,126.9936,-0.087,126.387
"57","1901_05_TeamLI_TeamA3",12,1,290,309405,12.91146,149.0916,-0.1152849,-1.2714,52.77,-5.1303,-1.7928,20.2026,146.3103,18.1641,126.9303,-0.3162,126.1749
"58","1901_05_TeamLI_TeamA3",12,1,291,309455,13.4745,149.8515,-0.120525,-1.257,52.8033,-5.1474,-1.806,20.3826,146.9262,18.6435,126.8712,-0.5664,125.9319
"59","1901_05_TeamLI_TeamA3",12,1,292,309505,14.03754,150.6111,-0.1257651,-1.2444,52.8303,-5.1645,-1.8186,20.5953,147.5565,19.0926,126.8157,-0.8388,125.6559
"60","1901_05_TeamLI_TeamA3",12,1,293,309555,14.60061,151.371,-0.1310055,-1.2273,52.8423,-5.1822,-1.8315,20.841,148.2009,19.5102,126.7638,-1.1355,125.3451
"61","1901_05_TeamLI_TeamA3",12,1,294,309605,15.16365,152.1306,-0.1362456,-1.2099,52.8537,-5.1996,-1.8438,21.1185,148.8585,19.8966,126.7146,-1.4571,124.9992
"62","1901_05_TeamLI_TeamA3",12,1,295,309655,15.72669,152.8902,-0.141486,-1.197,52.8591,-5.2173,-1.8564,21.4272,149.529,20.2515,126.6672,-1.8045,124.6188
"63","1901_05_TeamLI_TeamA3",12,1,296,309705,16.28973,153.6501,-0.1467261,-1.1808,52.8579,-5.235,-1.8693,21.7662,150.2106,20.5746,126.621,-2.1786,124.2048
"64","1901_05_TeamLI_TeamA3",12,1,297,309755,16.8528,154.4097,-0.1519662,-1.1697,52.8447,-5.2416,-1.8816,22.1349,150.903,20.8662,126.5751,-2.5797,123.7584
"65","1901_05_TeamLI_TeamA3",12,1,298,309805,17.41584,155.1696,-0.1572066,-1.1631,52.8039,-5.2206,-1.8756,22.5321,151.6047,21.1272,126.5298,-3.0084,123.2808
"66","1901_05_TeamLI_TeamA3",12,1,299,309855,17.97888,155.9292,-0.1624467,-1.176,52.7622,-5.2002,-1.8684,22.9563,152.316,21.3576,126.4842,-3.4656,122.7732
"67","1901_05_TeamLI_TeamA3",12,1,300,309905,18.54192,156.6891,-0.1676871,-1.1967,52.6965,-5.1798,-1.8609,23.4063,153.0357,21.5586,126.4383,-3.9513,122.2371
"68","1901_05_TeamLI_TeamA3",12,1,301,309955,19.10499,157.4487,-0.1729272,-1.2234,52.6092,-5.1597,-1.8531,23.8803,153.7644,21.7311,126.3924,-4.4658,121.674
"69","1901_05_TeamLI_TeamA3",12,1,302,310005,19.66803,158.2083,-0.1781673,-1.248,52.5126,-5.1393,-1.845,24.3765,154.5018,21.8766,126.3456,-5.0088,121.0863
"70","1901_05_TeamLI_TeamA3",12,1,303,310055,20.23107,158.9682,-0.1834077,-1.2768,52.4007,-5.1192,-1.8372,24.8937,155.2482,21.996,126.2985,-5.5803,120.4755
"71","1901_05_TeamLI_TeamA3",12,1,304,310105,20.79411,159.7278,-0.1886478,-1.317,52.2702,-5.0991,-1.8291,25.4289,156.0036,22.0911,126.2508,-6.1797,119.8443
"72","1901_05_TeamLI_TeamA3",12,1,305,310155,21.35718,160.4877,-0.1938879,-1.3716,52.1175,-5.079,-1.821,25.9809,156.7683,22.1631,126.2031,-6.8064,119.1945
"73","1901_05_TeamLI_TeamA3",12,1,306,310205,21.92022,161.2473,-0.1991283,-1.4571,51.9204,-5.0586,-1.8126,26.5473,157.5423,22.2141,126.1551,-7.4598,118.527
"74","1901_05_TeamLI_TeamA3",12,1,307,310255,22.48326,162.0072,-0.2043684,-1.5429,51.6912,-5.0385,-1.8045,27.1263,158.3265,22.2588,126.0612,-8.1393,117.8442
"75","1901_05_TeamLI_TeamA3",12,1,308,310305,23.0463,162.7668,-0.2096088,-1.6263,51.4455,-5.0184,-1.7964,27.7158,159.12,22.2588,126.0612,-8.8437,117.1467
"76","1901_05_TeamLI_TeamA3",12,1,309,310355,23.60937,163.5264,-0.2148489,-1.7079,51.1779,-4.9983,-1.7883,28.314,159.9228,22.2558,126.0165,-9.573,116.436
"77","1901_05_TeamLI_TeamA3",12,1,310,310405,24.17241,164.2863,-0.220089,-1.7907,50.877,-4.9785,-1.7802,28.9191,160.7349,22.2378,125.9739,-10.3257,115.7127
"78","1901_05_TeamLI_TeamA3",12,1,311,310455,24.73545,165.0459,-0.2253294,-1.8819,50.5443,-4.9578,-1.7718,29.5296,161.5557,22.2066,125.9346,-11.1015,114.9783
"79","1901_05_TeamLI_TeamA3",12,1,312,310505,25.29852,165.8058,-0.2305695,-1.9785,50.2209,-4.8627,-1.7325,30.1437,162.3849,22.1628,125.8989,-11.8992,114.2328
"80","1901_05_TeamLI_TeamA3",12,1,313,310555,25.86156,166.5654,-0.2358099,-2.0853,49.9011,-4.7712,-1.6938,30.7599,163.2222,22.1076,125.8671,-12.7182,113.4771
"81","1901_05_TeamLI_TeamA3",12,1,314,310605,26.4246,167.3253,-0.24105,-2.1267,49.6083,-4.6785,-1.6539,31.377,164.067,22.0422,125.8398,-13.5573,112.7115
"82","1901_05_TeamLI_TeamA3",12,1,315,310655,26.98764,168.0849,-0.2462901,-2.1285,49.2495,-4.5867,-1.614,31.9932,164.9196,21.9672,125.8167,-14.4162,111.936
"83","1901_05_TeamLI_TeamA3",12,1,316,310705,27.55071,168.8445,-0.2515305,-2.1087,48.8589,-4.4937,-1.5735,32.6079,165.7788,21.8838,125.7978,-15.2937,111.1512
"84","1901_05_TeamLI_TeamA3",12,1,317,310755,28.11375,169.6044,-0.2567706,-2.0898,48.4776,-4.4025,-1.5333,33.2193,166.6452,21.7923,125.7837,-16.1886,110.3574
"85","1901_05_TeamLI_TeamA3",12,1,318,310805,28.67679,170.364,-0.262011,-2.0784,48.1176,-4.3107,-1.4928,33.8268,167.5176,21.6936,125.7735,-17.1006,109.5546
"86","1901_05_TeamLI_TeamA3",12,1,319,310855,29.23983,171.1239,-0.2672511,-2.0436,47.7213,-4.2171,-1.4514,34.4298,168.3957,21.5883,125.7675,-18.0282,108.7437
"87","1901_05_TeamLI_TeamA3",12,1,320,310905,29.8029,171.8835,-0.2724912,-2.0094,47.3328,-4.1265,-1.4112,35.0277,169.2792,21.477,125.7654,-18.9714,107.9244
"88","1901_05_TeamLI_TeamA3",12,1,321,310955,30.366,172.6431,-0.2777316,-1.9575,46.9188,-4.0335,-1.3698,35.6202,170.1678,21.3606,125.7669,-19.929,107.0976
"89","1901_05_TeamLI_TeamA3",12,1,322,311005,30.9291,173.403,-0.2829717,-1.9134,46.524,-3.9423,-1.3293,36.2076,171.0612,21.2391,125.772,-20.9004,106.2633
"90","1901_05_TeamLI_TeamA3",12,1,323,311055,31.4919,174.1626,-0.2882121,-1.8732,46.1421,-3.8514,-1.2888,36.7896,171.9591,21.1134,125.7801,-21.8847,105.4215
"91","1901_05_TeamLI_TeamA3",12,1,324,311105,32.055,174.9225,-0.2934522,-1.8138,45.7299,-3.759,-1.2477,37.3659,172.8612,20.9838,125.7915,-22.8813,104.5728
"92","1901_05_TeamLI_TeamA3",12,1,325,311155,32.6181,175.6821,-0.2986923,-1.9776,44.8389,-3.6675,-1.2066,37.9371,173.7663,20.8509,125.8056,-23.8896,103.7172
"93","1901_05_TeamLI_TeamA3",12,1,326,311205,33.1812,176.442,-0.303933,-2.0367,44.0874,-3.5751,-1.1655,38.5032,174.6744,20.715,125.8221,-24.9087,102.8544
"94","1901_05_TeamLI_TeamA3",12,1,327,311255,33.7443,177.2016,-0.309174,-2.163,43.1511,-3.4839,-1.1247,39.0642,175.5843,20.5764,125.8413,-25.9377,101.9847
"95","1901_05_TeamLI_TeamA3",12,1,328,311305,34.3074,177.9612,-0.314412,-2.3007,42.2622,-3.3921,-1.0836,39.6198,176.4957,20.4357,125.8626,-26.976,101.1087
"96","1901_05_TeamLI_TeamA3",12,1,329,311355,34.8702,178.7211,-0.319653,-2.4156,41.3106,-3.3,-1.0425,40.1706,177.4083,20.2932,125.8866,-28.023,100.2264
"97","1901_05_TeamLI_TeamA3",12,1,330,311405,35.4333,179.4807,-0.324894,-2.5197,40.368,-3.2076,-1.0011,40.7163,178.3209,20.1489,125.9127,-29.0772,99.3381
"98","1901_05_TeamLI_TeamA3",12,1,331,311455,35.9964,180.2406,-0.330135,-2.6082,39.4527,-3.1173,-0.9606,41.2569,179.2335,20.0034,125.9412,-30.1383,98.4441
"99","1901_05_TeamLI_TeamA3",12,1,332,311505,36.5595,181.0002,-0.335373,-2.8041,38.4663,-3.0252,-0.9195,41.7918,180.1455,19.8564,125.9721,-31.2054,97.545
"100","1901_05_TeamLI_TeamA3",12,1,333,311555,37.1226,181.7601,-0.340614,-2.9922,37.4688,-2.9331,-0.8784,42.3213,181.056,19.7088,126.0051,-32.277,96.6411
"101","1901_05_TeamLI_TeamA3",12,1,334,311605,37.6857,182.5197,-0.345855,-3.1623,36.5238,-2.8419,-0.8376,42.8445,181.965,19.5603,126.0402,-33.3522,95.7324
"102","1901_05_TeamLI_TeamA3",12,1,335,311655,38.2485,183.2793,-0.351096,-3.3534,35.0319,-2.7489,-0.7962,43.3611,182.8716,19.2615,126.1167,-34.4304,94.8192
"103","1901_05_TeamLI_TeamA3",12,1,336,311705,38.8116,184.0392,-0.356334,-3.3534,35.0319,-2.6592,-0.756,43.8705,183.7749,19.2615,126.1167,-35.5095,93.9021
"104","1901_05_TeamLI_TeamA3",12,1,337,311755,39.3747,184.7988,-0.361575,-3.4578,34.2729,-2.5662,-0.7146,44.3724,184.674,19.1112,126.1572,-36.5886,92.9811
"105","1901_05_TeamLI_TeamA3",12,1,338,311805,39.9378,185.5587,-0.366816,-3.5544,33.5256,-2.4747,-0.6738,44.8656,185.5671,18.9606,126.1992,-37.6665,92.0574
"106","1901_05_TeamLI_TeamA3",12,1,339,311855,40.5009,186.3183,-0.372054,-3.651,32.7783,-2.3829,-0.633,45.3495,186.453,18.8094,126.2421,-38.7411,91.1316
"107","1901_05_TeamLI_TeamA3",12,1,340,311905,41.0637,187.0782,-0.377295,-3.7449,31.9404,-2.2908,-0.5925,45.8238,187.3299,18.6579,126.2862,-39.8112,90.204
"108","1901_05_TeamLI_TeamA3",12,1,341,311955,41.6268,187.8378,-0.382536,-3.7785,31.0572,-2.1993,-0.552,46.2873,188.1957,18.5058,126.3309,-40.8747,89.2752
"109","1901_05_TeamLI_TeamA3",12,1,342,312005,42.1899,188.5974,-0.387777,-3.8679,30.2859,-2.1063,-0.5109,46.7397,189.0486,18.3531,126.3765,-41.9301,88.3455
"110","1901_05_TeamLI_TeamA3",12,1,343,312055,42.753,189.3573,-0.393015,-3.9045,29.3826,-2.0151,-0.471,47.1798,189.8868,18.1998,126.423,-42.975,87.4155
"111","1901_05_TeamLI_TeamA3",12,1,344,312105,43.3161,190.1169,-0.398256,-3.927,28.5261,-1.9236,-0.4311,47.6076,190.7085,18.0459,126.4707,-44.0076,86.4852
"112","1901_05_TeamLI_TeamA3",12,1,345,312155,43.8792,190.8768,-0.403497,-3.9687,27.6546,-1.8318,-0.3909,48.0216,191.5128,17.8908,126.5196,-45.0255,85.5549
"113","1901_05_TeamLI_TeamA3",12,1,346,312205,44.442,191.6364,-0.408738,-4.0257,26.7615,-1.7391,-0.351,48.4218,192.2985,17.7354,126.5694,-46.0269,84.6243
"114","1901_05_TeamLI_TeamA3",12,1,347,312255,45.0051,192.396,-0.413976,-4.0917,25.8678,-1.6458,-0.3111,48.807,193.0644,17.5788,126.6204,-47.0097,83.6937
"115","1901_05_TeamLI_TeamA3",12,1,348,312305,45.5682,193.1559,-0.419217,-4.176,24.9924,-1.5243,-0.2607,49.1757,193.8111,17.4219,126.6726,-47.9721,82.7628
"116","1901_05_TeamLI_TeamA3",12,1,349,312355,46.1313,193.9155,-0.424458,-4.2396,24.3063,-1.4061,-0.2145,49.527,194.5377,17.2641,126.7257,-48.912,81.8313
"117","1901_05_TeamLI_TeamA3",12,1,350,312405,46.6944,194.6754,-0.429699,-4.3032,23.6352,-1.2885,-0.1713,49.8594,195.2454,17.1057,126.7797,-49.8279,80.8992
"118","1901_05_TeamLI_TeamA3",12,1,351,312455,47.2575,195.435,-0.434937,-4.3683,22.9563,-1.1724,-0.1308,50.1714,195.9345,16.9467,126.8346,-50.718,79.9668
"119","1901_05_TeamLI_TeamA3",12,1,352,312505,47.8203,196.1949,-0.440178,-4.4331,22.2861,-1.0521,-0.0915,50.4624,196.6044,16.7874,126.8901,-51.5808,79.0338
"120","1901_05_TeamLI_TeamA3",12,1,353,312555,48.3834,196.9545,-0.445419,-4.4988,21.6063,-0.9321,-0.054,50.7312,197.2545,16.6275,126.9459,-52.4154,78.1002
"121","1901_05_TeamLI_TeamA3",12,1,354,312605,48.9465,197.7141,-0.45066,-4.5648,20.9277,-0.8124,-0.018,50.9769,197.8842,16.3074,127.0575,-53.22,77.166
"122","1901_05_TeamLI_TeamA3",12,1,355,312655,49.5096,198.474,-0.455898,-4.6299,20.259,-0.6909,0.0183,51.1992,198.4932,16.3074,127.0575,-53.994,76.2312
"123","1901_05_TeamLI_TeamA3",12,1,356,312705,50.0727,199.2336,-0.461139,-4.6962,19.5792,-0.5715,0.0561,51.3966,199.0815,16.1472,127.113,-54.7371,75.2961
"124","1901_05_TeamLI_TeamA3",12,1,357,312755,50.6358,199.9935,-0.46638,-4.7616,18.9072,-0.453,0.0975,51.5679,199.6503,15.987,127.1685,-55.4484,74.3607
"125","1901_05_TeamLI_TeamA3",12,1,358,312805,51.1986,200.7531,-0.471621,-4.827,18.2319,-0.3375,0.1446,51.7134,200.2014,15.8271,127.2237,-56.1285,73.4253
"126","1901_05_TeamLI_TeamA3",12,1,359,312855,51.7617,201.513,-0.476859,-4.8927,17.5572,-0.2244,0.1989,51.8322,200.7396,15.6675,127.2792,-56.7774,72.4899
"127","1901_05_TeamLI_TeamA3",12,1,360,312905,52.3248,202.2726,-0.4821,-4.9578,16.8852,-0.1137,0.2613,51.9252,201.2703,15.5088,127.3341,-57.396,71.5551
"128","1901_05_TeamLI_TeamA3",12,1,361,314755,51.774,203.0376,3.56421,-5.5995,-5.6709,1.257,1.7217,53.0499,198.816,11.0694,128.6244,-58.6962,54.7656
"129","1901_05_TeamLI_TeamA3",12,1,362,314805,49.74,199.7895,4.43646,-5.5215,-5.9352,1.2621,1.7277,53.0193,198.6282,10.9692,128.6466,-58.65,54.7122
"130","1901_05_TeamLI_TeamA3",12,1,363,314855,47.712,196.5909,5.23287,-5.4375,-6.198,1.2672,1.734,52.9878,198.4428,10.8639,128.6718,-58.6068,54.6618
"131","1901_05_TeamLI_TeamA3",12,1,364,314905,45.69,193.4418,5.95341,-5.3511,-6.4548,1.272,1.74,52.9554,198.2604,10.7526,128.7003,-58.5678,54.615
"132","1901_05_TeamLI_TeamA3",12,1,365,314955,43.6746,190.3419,6.59808,-5.2599,-6.7194,1.2768,1.746,52.9224,198.0813,10.6344,128.7324,-58.5339,54.5727
"133","1901_05_TeamLI_TeamA3",12,1,366,315005,41.6652,187.2915,7.16688,-5.1744,-6.9783,1.2816,1.7523,52.8891,197.9058,10.5081,128.7684,-58.5054,54.5355
"134","1901_05_TeamLI_TeamA3",12,1,367,315055,39.6621,184.2906,7.65984,-5.1045,-7.2477,1.2861,1.7586,52.8558,197.7339,10.3728,128.8083,-58.4832,54.5034
"135","1901_05_TeamLI_TeamA3",12,1,368,315105,37.665,181.3392,8.0769,-5.1006,-7.2699,1.2894,1.7655,52.8225,197.5656,10.2276,128.8521,-58.4679,54.477
"136","1901_05_TeamLI_TeamA3",12,1,369,315155,35.6742,178.4373,8.41812,-5.0973,-7.2906,1.2825,1.7625,52.7892,197.4009,10.0713,128.9001,-58.4595,54.456
"137","1901_05_TeamLI_TeamA3",12,1,370,315205,33.6897,175.5846,8.6835,-5.0943,-7.311,1.2765,1.7577,52.7562,197.2398,9.9036,128.9526,-58.4586,54.441
"138","1901_05_TeamLI_TeamA3",12,1,371,315255,31.7115,172.7814,8.87298,-5.0922,-7.3311,1.2702,1.7526,52.7235,197.082,9.7239,129.009,-58.4652,54.4311
"139","1901_05_TeamLI_TeamA3",12,1,372,315305,29.73939,170.0277,8.98662,-5.0901,-7.3521,1.2642,1.7478,52.6911,196.9272,9.5316,129.0702,-58.479,54.4263
"140","1901_05_TeamLI_TeamA3",12,1,373,315355,27.77349,167.3235,9.02439,-5.0889,-7.3728,1.2585,1.7424,52.6593,196.7757,9.327,129.1356,-58.5009,54.4263
"141","1901_05_TeamLI_TeamA3",12,1,374,315405,25.81383,164.6685,8.98629,-5.0889,-7.3932,1.2525,1.7373,52.6284,196.6272,9.1104,129.2052,-58.53,54.4311
